"data_type","num","precision1","Recall1","Fs1","precision2","Recall2","Fs2","precision3","Recall3","Fs3","precision4","Recall4","Fs4","precision5","Recall5","Fs5","precision6","Recall6","Fs6","precision7","Recall7","Fs7","precision8","Recall8","Fs8","precision9","Recall9","Fs9","precision10","Recall10","Fs10"
"BPIC13ClosedProblems","0.05","0.318181818181818","0.318181818181818","0.318181818181818","0.454545454545455","0.454545454545455","0.454545454545455","0.349397590361446","0.439393939393939","0.389261744966443","0.8","0.363636363636364","0.5","0.259541984732824","0.515151515151515","0.345177664974619","0.428571428571429","0.454545454545455","0.441176470588235","0.300884955752212","0.515151515151515","0.379888268156425","0.615384615384615","0.363636363636364","0.457142857142857","0.110912343470483","0.939393939393939","0.1984","0.197478991596639","0.712121212121212","0.309210526315789"
"BPIC13ClosedProblems","0.1","0.378378378378378","0.378378378378378","0.378378378378378","0.522522522522523","0.522522522522523","0.522522522522523","0.35031847133758","0.495495495495495","0.41044776119403","0.701298701298701","0.486486486486487","0.574468085106383","0.367647058823529","0.45045045045045","0.404858299595142","0.675","0.486486486486487","0.56544502617801","0.38655462184874","0.414414414414414","0.4","0.761904761904762","0.432432432432432","0.551724137931034","0.182149362477231","0.900900900900901","0.303030303030303","0.292490118577075","0.666666666666667","0.406593406593407"
"BPIC13ClosedProblems","0.2","0.475206611570248","0.475206611570248","0.475206611570248","0.56198347107438","0.56198347107438","0.56198347107438","0.397435897435897","0.896694214876033","0.550761421319797","0.435416666666667","0.863636363636364","0.578947368421053","0.475524475524476","0.28099173553719","0.353246753246753","0.830508474576271","0.40495867768595","0.544444444444444","0.487394957983193","0.239669421487603","0.321329639889197","0.84","0.260330578512397","0.397476340694006","0.43952802359882","0.615702479338843","0.512908777969019","0.255687973997833","0.975206611570248","0.405150214592275"
"BPIC13ClosedProblems","0.3","0.541916167664671","0.541916167664671","0.541916167664671","0.607784431137725","0.607784431137725","0.607784431137725","0.476190476190476","0.898203592814371","0.622406639004149","0.541176470588235","0.826347305389222","0.654028436018957","0.602836879432624","0.254491017964072","0.357894736842105","0.884955752212389","0.29940119760479","0.447427293064877","0.64","0.239520958083832","0.348583877995643","0.872093023255814","0.224550898203593","0.357142857142857","0.564705882352941","0.287425149700599","0.380952380952381","0.345784418356457","0.970059880239521","0.509834775767112"
"BPIC13Incidents","0.05","0.281081081081081","0.281081081081081","0.281081081081081","0.556756756756757","0.556756756756757","0.556756756756757","0.281923714759536","0.459459459459459","0.349434737923947","0.696969696969697","0.497297297297297","0.580441640378549","0.273301737756714","0.467567567567568","0.344965104685942","0.537467700258398","0.562162162162162","0.549537648612946","0.262857142857143","0.372972972972973","0.308379888268156","0.710407239819005","0.424324324324324","0.531302876480541","0.277511961722488","0.313513513513514","0.294416243654822","0.328767123287671","0.648648648648649","0.436363636363636"
"BPIC13Incidents","0.1","0.357519788918206","0.357519788918206","0.357519788918206","0.606860158311346","0.606860158311346","0.606860158311346","0.263205417607223","0.769129287598945","0.392196434577867","0.656012176560122","0.568601583113456","0.609187279151943","0.37245696400626","0.313984168865435","0.340730136005727","0.69438202247191","0.407651715039578","0.513715710723192","0.373382624768946","0.266490765171504","0.311008468052348","0.801282051282051","0.329815303430079","0.467289719626168","0.370808678500986","0.24802110817942","0.297233201581028","0.80655737704918","0.324538258575198","0.462841015992474"
"BPIC13Incidents","0.2","0.45224541429475","0.45224541429475","0.45224541429475","0.632511068943707","0.632511068943707","0.632511068943707","0.397560212699406","0.803921568627451","0.532021766429468","0.697122302158273","0.612903225806452","0.652305621003029","0.483383685800604","0.202403542061986","0.285332144449398","0.861204013377926","0.325743200506009","0.472693896282698","0.482517482517482","0.174573055028463","0.256386437529029","0.871495327102804","0.235926628716003","0.371329019412643","0.451501154734411","0.494623655913978","0.472079686085119","0.781771501925546","0.385199240986717","0.516101694915254"
"BPIC13Incidents","0.3","0.564655172413793","0.564655172413793","0.564655172413793","0.684051724137931","0.684051724137931","0.684051724137931","0.517590618336887","0.837068965517241","0.63965744400527","0.759959141981614","0.641379310344828","0.695652173913043","0.583717357910906","0.163793103448276","0.255806125883541","0.878082191780822","0.276293103448276","0.420327868852459","0.571681415929204","0.139224137931034","0.223916811091854","0.886752136752137","0.178879310344828","0.297704447632712","0.532993197278912","0.675431034482759","0.595817490494297","0.867647058823529","0.381465517241379","0.529940119760479"
"BPIC13OpenProblems","0.05","0.227272727272727","0.227272727272727","0.227272727272727","0.272727272727273","0.272727272727273","0.272727272727273","0.416666666666667","0.227272727272727","0.294117647058824","0.833333333333333","0.227272727272727","0.357142857142857","0.149253731343284","0.454545454545455","0.224719101123595","0.166666666666667","0.5","0.25","0.181818181818182","0.454545454545455","0.25974025974026","0.173913043478261","0.363636363636364","0.235294117647059","0.0621468926553672","1","0.117021276595745","0.0783410138248848","0.772727272727273","0.142259414225941"
"BPIC13OpenProblems","0.1","0.30952380952381","0.30952380952381","0.30952380952381","0.428571428571429","0.428571428571429","0.428571428571429","0.3","0.571428571428571","0.39344262295082","0.620689655172414","0.428571428571429","0.507042253521127","0.294871794871795","0.547619047619048","0.383333333333333","0.318840579710145","0.523809523809524","0.396396396396396","0.274193548387097","0.404761904761905","0.326923076923077","0.328125","0.5","0.39622641509434","0.30188679245283","0.380952380952381","0.336842105263158","0.0793950850661626","1","0.147110332749562"
